"matchNo","team","batsman","dismissal","runs","balls","minutes","fours","sixes","strikeRate"
"11","Chennai Super Kings","SV Samson †","c Padikkal b Duffy","9","5","14","0","1","180"
"11","Chennai Super Kings","RD Gaikwad (c)","c Padikkal b Duffy","7","3","3","0","1","233.33"
"11","Chennai Super Kings","A Mhatre","c Patidar b Kumar","1","3","3","0","0","33.33"
"11","Chennai Super Kings","SN Khan","st †Sharma b Pandya","50","25","25","8","2","200"
"11","Chennai Super Kings","Kartik Sharma","c Abhinandan Singh b Pandya","6","3","22","0","1","200"
"11","Chennai Super Kings","S Dube","c †Sharma b Abhinandan Singh","18","13","18","2","1","138.46"
"11","Chennai Super Kings","PR Veer","c Patidar b Kumar","43","29","40","6","1","148.27"
"11","Chennai Super Kings","J Overton","c sub (JG Bethell) b Suyash Sharma","37","16","33","4","2","231.25"
"11","Chennai Super Kings","A Kamboj","not out","19","12","20","1","1","158.33"
"11","Chennai Super Kings","Noor Ahmad","c Kohli b Kumar","8","8","7","0","1","100"
"11","Chennai Super Kings","MJ Henry","c Salt b Abhinandan Singh","2","3","7","0","0","66.66"
"13","Rajasthan Royals","YBK Jaiswal","not out","77","32","63","10","4","240.62"
"13","Rajasthan Royals","V Sooryavanshi","c Tilak Varma b Thakur","39","14","25","1","5","278.57"
"13","Rajasthan Royals","DC Jurel †","lbw b Ghazanfar","2","3","3","0","0","66.66"
"13","Rajasthan Royals","R Parag (c)","c Tilak Varma b Ghazanfar","20","10","14","1","2","200"
"13","Rajasthan Royals","SO Hetmyer","not out","6","7","17","0","0","85.71"
"13","Mumbai Indians","RD Rickelton †","c †Jurel b Archer","8","4","5","0","1","200"
"13","Mumbai Indians","RG Sharma","lbw b Sandeep Sharma","5","6","15","0","0","83.33"
"13","Mumbai Indians","SA Yadav","c Archer b Burger","6","3","4","0","1","200"
"13","Mumbai Indians","NT Tilak Varma","c Hetmyer b Ravi Bishnoi","14","10","19","2","0","140"
"13","Mumbai Indians","HH Pandya (c)","c Jaiswal b Ravi Bishnoi","9","6","11","2","0","150"
"13","Mumbai Indians","Naman Dhir","c Ravi Bishnoi b Burger","25","13","23","3","1","192.3"
"13","Mumbai Indians","SE Rutherford","c Sandeep Sharma b Deshpande","25","8","14","2","2","312.5"
"13","Mumbai Indians","SN Thakur","c †Jurel b Sandeep Sharma","8","7","10","1","0","114.28"
"13","Mumbai Indians","DL Chahar","not out","6","5","13","1","0","120"
"13","Mumbai Indians","TA Boult","run out (Archer)","1","2","3","0","0","50"
"13","Mumbai Indians","JJ Bumrah","not out","5","2","4","1","0","250"
"14","Gujarat Titans","B Sai Sudharsan","b Mukesh Kumar","12","7","12","2","0","171.42"
"14","Gujarat Titans","Shubman Gill (c)","c Rana b Ngidi","70","45","93","4","5","155.55"
"14","Gujarat Titans","JC Buttler †","b Kuldeep Yadav","52","27","27","3","5","192.59"
"14","Gujarat Titans","Washington Sundar","c Rana b Mukesh Kumar","55","32","63","6","2","171.87"
"14","Gujarat Titans","GD Phillips","not out","14","9","14","1","1","155.55"
"14","Gujarat Titans","R Tewatia","not out","1","1","3","0","0","100"
"14","Delhi Capitals","P Nissanka","c Tewatia b Prasidh Krishna","41","24","41","6","1","170.83"
"14","Delhi Capitals","KL Rahul †","c †Buttler b Mohammed Siraj","92","52","99","11","4","176.92"
"14","Delhi Capitals","N Rana","c Sai Sudharsan b Rashid Khan","5","6","9","1","0","83.33"
"14","Delhi Capitals","Sameer Rizvi","b Rashid Khan","0","1","1","0","0","0"
"14","Delhi Capitals","DA Miller","not out","41","20","44","3","3","205"
"14","Delhi Capitals","AR Patel (c)","c Phillips b Rashid Khan","2","3","3","0","0","66.66"
"14","Delhi Capitals","T Stubbs","run out (Sai Sudharsan)","7","6","18","0","0","116.66"
"14","Delhi Capitals","V Nigam","c Shubman Gill b Prasidh Krishna","12","7","17","2","0","171.42"
"14","Delhi Capitals","Kuldeep Yadav","run out (†Buttler)","1","1","6","0","0","100"
"15","Kolkata Knight Riders","AM Rahane (c)","c Mohammed Shami b Rathi","41","24","50","4","2","170.83"
"15","Kolkata Knight Riders","FH Allen","c Rathi b Prince Yadav","9","8","8","2","0","112.5"
"15","Kolkata Knight Riders","A Raghuvanshi †","c Markram b Siddharth","45","33","47","5","2","136.36"
"15","Kolkata Knight Riders","C Green","not out","32","24","53","3","1","133.33"
"15","Kolkata Knight Riders","RK Singh","b Avesh Khan","4","7","8","0","0","57.14"
"15","Kolkata Knight Riders","R Powell","not out","39","24","39","4","2","162.5"
"15","Lucknow Super Giants","MR Marsh","c †Raghuvanshi b Arora","15","11","21","1","1","136.36"
"15","Lucknow Super Giants","AK Markram","c Powell b Arora","22","15","18","2","1","146.66"
"15","Lucknow Super Giants","RR Pant (c) †","c Kartik Tyagi b Green","10","9","23","1","0","111.11"
"15","Lucknow Super Giants","A Badoni","c Singh b Roy","54","34","56","7","2","158.82"
"15","Lucknow Super Giants","N Pooran","c Ramandeep Singh b Kartik Tyagi","13","15","19","0","1","86.66"
"15","Lucknow Super Giants","Abdul Samad","b Roy","2","4","5","0","0","50"
"15","Lucknow Super Giants","MD Choudhary","not out","54","27","40","2","7","200"
"15","Lucknow Super Giants","Mohammed Shami","c Roy b Narine","1","3","5","0","0","33.33"
"15","Lucknow Super Giants","Avesh Khan","not out","1","3","23","0","0","33.33"
"16","Royal Challengers Bengaluru","PD Salt","c †Jurel b Archer","0","1","1","0","0","0"
"16","Royal Challengers Bengaluru","V Kohli","b Ravi Bishnoi","32","16","26","7","0","200"
"16","Royal Challengers Bengaluru","D Padikkal","c Hetmyer b Archer","14","7","15","3","0","200"
"16","Royal Challengers Bengaluru","RM Patidar (c)","c Ferreira b Sandeep Sharma","63","40","67","4","4","157.5"
"16","Royal Challengers Bengaluru","KH Pandya","c Hetmyer b Ravi Bishnoi","1","6","7","0","0","16.66"
"16","Royal Challengers Bengaluru","JM Sharma †","lbw b Brijesh Sharma","5","8","8","0","0","62.5"
"16","Royal Challengers Bengaluru","TH David","c Hetmyer b Brijesh Sharma","13","9","11","2","0","144.44"
"16","Royal Challengers Bengaluru","R Shepherd","c Brijesh Sharma b Jadeja","22","11","11","2","1","200"
"16","Royal Challengers Bengaluru","VR Iyer","not out","29","15","31","1","2","193.33"
"16","Royal Challengers Bengaluru","B Kumar","not out","9","7","14","1","0","128.57"
"16","Rajasthan Royals","YBK Jaiswal","c †Sharma b Hazlewood","13","8","9","0","2","162.5"
"16","Rajasthan Royals","V Sooryavanshi","c Kohli b Pandya","78","26","41","8","7","300"
"16","Rajasthan Royals","DC Jurel †","not out","81","43","83","8","3","188.37"
"16","Rajasthan Royals","SO Hetmyer","c Hazlewood b Pandya","0","1","1","0","0","0"
"16","Rajasthan Royals","R Parag (c)","c Pandya b Hazlewood","3","5","6","0","0","60"
"16","Rajasthan Royals","RA Jadeja","not out","24","25","42","1","0","96"
"17","Sunrisers Hyderabad","Abhishek Sharma","c Arshdeep Singh b Shashank Singh","74","28","49","5","8","264.28"
"17","Sunrisers Hyderabad","TM Head","c Bartlett b Shashank Singh","38","23","47","5","1","165.21"
"17","Sunrisers Hyderabad","Ishan Kishan (c) †","c Jansen b Arshdeep Singh","27","17","26","3","1","158.82"
"17","Sunrisers Hyderabad","H Klaasen","c Connolly b Bartlett","39","33","55","1","1","118.18"
"17","Sunrisers Hyderabad","AU Verma","run out (Stoinis/†Prabhsimran Singh)","18","9","14","1","1","200"
"17","Sunrisers Hyderabad","S Arora","c Bartlett b Arshdeep Singh","9","8","10","0","1","112.5"
"17","Sunrisers Hyderabad","K Nitish Kumar Reddy","not out","0","1","9","0","0","0"
"17","Sunrisers Hyderabad","HS Dubey","not out","1","2","2","0","0","50"
"17","Punjab Kings","P Arya","c Nitish Kumar Reddy b Shivang Kumar","57","20","38","5","5","285"
"17","Punjab Kings","Prabhsimran Singh †","c Klaasen b Shivang Kumar","51","25","49","4","4","204"
"17","Punjab Kings","CPL Connolly","c Verma b Shivang Kumar","11","12","19","1","0","91.66"
"17","Punjab Kings","SS Iyer (c)","not out","69","33","49","5","5","209.09"
"17","Punjab Kings","N Wadhera","b Dubey","14","14","30","0","1","100"
"17","Punjab Kings","Shashank Singh","not out","16","9","10","1","1","177.77"
"18","Chennai Super Kings","SV Samson †","not out","115","56","103","15","4","205.35"
"18","Chennai Super Kings","RD Gaikwad (c)","c Nissanka b Patel","15","18","32","1","0","83.33"
"18","Chennai Super Kings","A Mhatre","retired out","59","36","55","3","4","163.88"
"18","Chennai Super Kings","S Dube","not out","20","10","15","2","1","200"
"18","Delhi Capitals","P Nissanka","c Brevis b Kamboj","41","24","29","5","2","170.83"
"18","Delhi Capitals","KL Rahul †","c Overton b Ahmed","18","10","26","2","1","180"
"18","Delhi Capitals","Sameer Rizvi","c Brevis b Overton","6","9","18","1","0","66.66"
"18","Delhi Capitals","AR Patel (c)","c Khan b Gurjapneet Singh","1","2","4","0","0","50"
"18","Delhi Capitals","DA Miller","b Overton","17","14","37","1","1","121.42"
"18","Delhi Capitals","T Stubbs","c Noor Ahmad b Overton","60","38","64","4","3","157.89"
"18","Delhi Capitals","AR Sharma","c Kamboj b Noor Ahmad","19","10","13","1","2","190"
"18","Delhi Capitals","Auqib Nabi","c Hosein b Overton","4","2","4","1","0","200"
"18","Delhi Capitals","Kuldeep Yadav","c Brevis b Kamboj","4","7","22","0","0","57.14"
"18","Delhi Capitals","L Ngidi","c Gurjapneet Singh b Kamboj","3","5","10","0","0","60"
"18","Delhi Capitals","T Natarajan","not out","1","2","5","0","0","50"
"19","Lucknow Super Giants","AK Markram","c Washington Sundar b Prasidh Krishna","30","21","38","5","1","142.85"
"19","Lucknow Super Giants","MR Marsh","c Shubman Gill b Rabada","11","4","7","1","1","275"
"19","Lucknow Super Giants","RR Pant (c) †","c Tewatia b Mohammed Siraj","18","11","13","2","1","163.63"
"19","Lucknow Super Giants","A Badoni","c Phillips b Prasidh Krishna","9","11","22","1","0","81.81"
"19","Lucknow Super Giants","N Pooran","c Shubman Gill b Prasidh Krishna","19","21","30","0","2","90.47"
"19","Lucknow Super Giants","Abdul Samad","c Phillips b Ashok Sharma","18","22","37","2","0","81.81"
"19","Lucknow Super Giants","MD Choudhary","c †Buttler b Prasidh Krishna","18","14","22","1","1","128.57"
"19","Lucknow Super Giants","GF Linde","c Shahrukh Khan b Ashok Sharma","16","10","16","3","0","160"
"19","Lucknow Super Giants","Mohammed Shami","not out","12","5","13","1","1","240"
"19","Lucknow Super Giants","Avesh Khan","not out","4","1","4","1","0","400"
"19","Gujarat Titans","B Sai Sudharsan","c Avesh Khan b Rathi","15","14","28","3","0","107.14"
"19","Gujarat Titans","Shubman Gill (c)","c †Pant b Prince Yadav","56","40","75","6","1","140"
"19","Gujarat Titans","JC Buttler †","c Markram b Mohammed Shami","60","37","51","11","0","162.16"
"19","Gujarat Titans","Washington Sundar","not out","21","13","20","2","1","161.53"
"19","Gujarat Titans","R Tewatia","not out","10","8","15","1","0","125"
